sender_or_domain,organisation_service,status,applicability,legitimacy_evidence,importance_handling,open_question,recommended_next_action,last_reviewed,notes
notification@billing.o2.com,O2,known-applicable; important; allowed,Confirmed current/applicable by user,Known provider and approved billing sender,Daily briefing by default; immediate only for payment failure/overdue/security/unusual amount,None,Review bill only if desired or amount looks wrong,2026-05-17,User explicitly contrasted O2 as real/applicable
billing.o2.com,O2,known-applicable; important; allowed,Confirmed current/applicable by user,Known provider and approved billing domain,Same as O2 billing sender,None,Treat account/payment/security messages as relevant; suppress unrelated marketing,2026-05-17,Domain-level rule should be used carefully
no-reply@backblaze.com,Backblaze,known-historical; free-tier; opportunity-check,"User used Backblaze for a prototype app, no longer needs it, and confirmed current usage is free-tier",Gmail authentication passed SPF/DKIM/DMARC; backblaze.com appears legitimate,Low urgency; optional admin cleanup/watchlist; escalate only for payment/security/account-access/data-loss/quota-blocking issues,Is the account still active and storing anything worth keeping/deleting?,No payment urgency; consider manually closing the account or deleting unused data if convenient; do not click email links,2026-05-17,User confirmed Backblaze is free-tier; storage-cap emails are low-urgency admin cleanup unless security/payment/account risk appears
backblaze.com,Backblaze,known-historical; free-tier; opportunity-check,Used historically for prototype app; no longer needed; confirmed free-tier,Official website exists; email authentication observed on no-reply@backblaze.com,Low urgency; optional watchlist/admin cleanup only,Account still active? Any stored data worth keeping/deleting?,"If convenient, manually close the account or leave as free-tier/no-payment-risk",2026-05-17,Payment-status question resolved: free-tier
lifesightsupport@wtwco.com,LifeSight/WTW,important; allowed,Approved as relevant enough for pension/finance review,Plausible pension/finance sender approved after manual triage,Daily briefing; immediate only for action/deadline/security/account-access,Confirm ongoing relevance if needed,Review when convenient,2026-05-17,Financial-account notices should not be deleted/filtered without approval
wtwco.com,WTW/LifeSight,important; allowed,Approved as relevant enough for pension/finance review,Known approved domain after manual triage,Same as LifeSight sender,Confirm ongoing relevance if needed,Include account notices in briefing,2026-05-17,Domain-level classification should avoid suppressing unrelated marketing incorrectly
hmrc.gov.uk,HMRC/UK tax authority,known-applicable?; important; allowed,Generally important category; user-specific applicability presumed for UK tax/admin but verify message-by-message,Official government domain pattern; still verify phishing/lookalikes,Immediate alert for credible tax/government messages,None,Verify carefully; never click suspicious links,2026-05-17,Keep high-sensitivity
email@mailer.hollandandbarrett.com,Holland & Barrett,noisy-candidate,No current importance confirmed,Retail marketing sender observed,Report-only unwanted/noise candidate,Keep or unsubscribe/filter?,No action unless user approves,2026-05-17,Repeated promotions
reply@rs.email.nextdoor.co.uk,Nextdoor community digests,noisy-candidate,Some local posts might occasionally matter; not generally important,Community/social digest sender observed,Report-only candidate; avoid broad blocking until sampled,Are local alerts useful?,No action unless user approves,2026-05-17,"Could contain local utility/security issues, so classify carefully"
partnerpromotions@partner.rightmove.co.uk,Rightmove partner promotions,noisy-candidate,Partner promotions not confirmed useful,Sender observed in recent unread mail,Report-only noise candidate,Keep or unsubscribe/filter?,No action unless user approves,2026-05-17,Keep distinct from core Rightmove alerts
jobs@gulftalent.com,GulfTalent jobs,noisy-candidate,Job-search relevance unknown,Job digest sender observed,Report-only candidate,Is user actively job searching for these roles?,No action unless user approves,2026-05-17,Do not block if job alerts are wanted
admin@cv-library.co.uk,CV-Library,noisy-candidate,Job-search relevance unknown,Job digest sender observed,Report-only candidate,Is user actively job searching?,No action unless user approves,2026-05-17,Repeated job alerts
jobs-listings@linkedin.com,LinkedIn jobs,noisy-candidate,Job-search relevance unknown,LinkedIn job digest observed,Report-only candidate; avoid broad linkedin.com filtering,Are LinkedIn job alerts wanted?,No action unless user approves,2026-05-17,Sender-specific only
