sender_or_domain,service,match_type,trust_level,user_relationship,cost_status,default_message_category,default_urgency,default_disposition,action_policy,mutation_policy,confidence,evidence_summary,last_confirmed,notes
notification@billing.o2.com,O2,exact_sender,trusted_confirmed,current_applicable,paid_active,billing,daily_briefing,review_today,manual_check,none_read_only,high,User confirmed O2 billing as current/applicable; important billing sender.,2026-05-17,"Immediate only for payment failure, overdue, security, unusual amount, or deadline."
billing.o2.com,O2,domain,trusted_confirmed,current_applicable,paid_active,billing,daily_briefing,review_today,manual_check,none_read_only,high,User confirmed O2 billing domain as current/applicable.,2026-05-17,Use domain rule carefully; suppress unrelated marketing.
no-reply@backblaze.com,Backblaze,exact_sender,likely_legitimate,historical_unused,free_tier,quota_usage,weekly_cleanup,optional_cleanup,optional_account_closure,none_read_only,high,Gmail auth passed; user used historically for prototype and confirmed free-tier/no payment urgency.,2026-05-17,Optional account closure/data cleanup only.
backblaze.com,Backblaze,domain,likely_legitimate,historical_unused,free_tier,quota_usage,weekly_cleanup,optional_cleanup,optional_account_closure,none_read_only,high,Official domain; user confirmed historical unused free-tier account.,2026-05-17,Do not ask paid/free again unless future payment email contradicts.
lifesightsupport@wtwco.com,LifeSight / WTW,exact_sender,trusted_confirmed,current_applicable,unknown,pension_finance,daily_briefing,review_today,manual_check,none_read_only,medium,User approved as relevant enough for pension/finance review.,2026-05-17,"Immediate only for action, deadline, security, or account access."
wtwco.com,WTW / LifeSight,domain,trusted_confirmed,current_applicable,unknown,pension_finance,daily_briefing,review_today,manual_check,none_read_only,medium,Known approved domain after manual triage.,2026-05-17,Domain rule should avoid suppressing unrelated marketing incorrectly.
hmrc.gov.uk,HMRC / UK tax authority,domain,likely_legitimate,unknown_applicability,not_relevant,government_tax,immediate,action_required_now,manual_check,none_read_only,medium,Official government domain pattern; verify message-by-message for phishing/lookalikes.,2026-05-17,High sensitivity.
email@mailer.hollandandbarrett.com,Holland & Barrett,exact_sender,likely_legitimate,unwanted_marketing,not_relevant,marketing,weekly_cleanup,noise_candidate,propose_unsubscribe,none_read_only,medium,Retail marketing sender observed; no current importance confirmed.,2026-05-17,Report-only until user approves filter/unsubscribe.
reply@rs.email.nextdoor.co.uk,Nextdoor community digests,exact_sender,likely_legitimate,unknown_applicability,not_relevant,community_digest,weekly_cleanup,noise_candidate,propose_filter,none_read_only,low,Community/social digest sender observed; occasional local usefulness possible.,2026-05-17,Ask whether local alerts are useful before suppressing broadly.
partnerpromotions@partner.rightmove.co.uk,Rightmove partner promotions,exact_sender,likely_legitimate,unwanted_marketing,not_relevant,marketing,weekly_cleanup,noise_candidate,propose_unsubscribe,none_read_only,medium,Partner promotions observed; keep distinct from core Rightmove alerts.,2026-05-17,Report-only candidate.
jobs@gulftalent.com,GulfTalent jobs,exact_sender,likely_legitimate,unknown_applicability,not_relevant,job_alert,weekly_cleanup,noise_candidate,propose_filter,none_read_only,low,Job digest sender observed; job-search relevance unknown.,2026-05-17,Ask if user is actively job searching for these roles.
admin@cv-library.co.uk,CV-Library,exact_sender,likely_legitimate,unknown_applicability,not_relevant,job_alert,weekly_cleanup,noise_candidate,propose_filter,none_read_only,low,Job digest sender observed; job-search relevance unknown.,2026-05-17,Report-only candidate.
jobs-listings@linkedin.com,LinkedIn jobs,exact_sender,likely_legitimate,unknown_applicability,not_relevant,job_alert,weekly_cleanup,noise_candidate,propose_filter,none_read_only,low,LinkedIn job digest observed.,2026-05-17,Sender-specific only; avoid broad linkedin.com filtering.
